date,time,trial,treatment,tank,light,sequence,day,hours_havail,hours_lout,c_hab,c_open_screen,c_open_cent,c_open_hab,c_open,c_ps,c_both
07/11/2020,06:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,06:00:00,2,1,2,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,06:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,06:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,06:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,06:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,2,1,2,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,07:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,2,1,2,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,08:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,09:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,09:00:00,2,1,2,0,1,1,,,0,1,0,0,1,11,11
07/11/2020,09:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,09:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,09:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,09:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,2,1,2,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,10:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,2,1,2,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,3,1,3,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,4,0,4,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,5,0,5,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,11:00:00,6,0,6,0,1,1,,,0,0,0,0,0,12,12
07/11/2020,12:00:00,1,1,1,0,1,1,,,0,0,0,0,0,12,12
